time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2017-03-12 00:19:25.936 UTC,125,3157213,696,11360,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489277965406,3145728,0,0,0,0,2,1,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,1,11,13762632,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 02:48:23.605 UTC,125,3179589,1624,33736,0,0,224,7,0.03125,0,0,0,0,0,0,0,7,7,95,0,3,1,12,0,128,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,256688,256688,1,0,7,14,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489286902933,3145728,0,0,0,18,1,1,1,4,1,0,0,3,2,0,0,0,18,0,2048,1,0,0,0,0,2148352,149,4897,1,0,0,0,0,0,0,1,9,15516224,1,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:03:24.307 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489287803801,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,13,13572472,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:05:05.273 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489287904717,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,9,13548832,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:06:38.078 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489287997572,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,14,14589496,3,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:06:54.346 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288013728,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,10,13696392,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:07:35.023 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288054363,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,19,14413000,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:08:51.884 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288131405,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,8,14617792,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:09:12.040 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288151500,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,12,15015704,2,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-12 03:13:01.240 UTC,125,3162189,1624,16336,0,0,23,3,0.13043478,0,0,0,0,0,0,0,3,3,2,0,2,1,4,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,261474,2,0,256688,0,0,0,0,0,0,98,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1489288380660,3145728,0,0,0,15,0,0,0,2,0,0,0,3,0,0,0,0,15,0,2048,1,0,0,0,0,364544,34,0,0,0,0,0,0,0,0,1,32,12605080,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
