time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2017-04-14 03:10:19.534 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,1,3,1,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , ,2,23,18446224,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:11:19.543 UTC, ,4335,3246231,3752,95768,400, ,9, ,32269, , , , , , , , , ,9,9, , , ,1, ,15, ,16187,6, , , , , , , , , , , , , ,17179902489,3,20002598,17179877842,2, ,16,32, , , , , , , ,2,3141,13459,4, ,2, ,2,36,14,25, , , , ,24,13388, , , , , , , , , , ,1492139418943, , , , ,3145728, , , ,4,90,16078,3629,16078,15,16078, , ,3,16085, , , ,6,2,481280,55,322017,81, , ,29556038,3100,42735154,16002, , , , ,1,66,73,156,14183160,3, , , , , , ,32349, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17, ,12,16058,15,16058, , , , , , 
2017-04-14 03:12:19.552 UTC, ,714,3243426,3128,96584,400, ,9, ,38, , , , , , , , , ,9,9, , , ,1, ,15, ,42, , , , , , , , , , , , , , ,17182942621,4,3060904,17182938746,1, ,9,18, , , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,2,1,2,1, ,1, , ,3,1, , , , ,1, , , , , , , , ,3932,1, , , , , , , , ,15440096,3, , , , , , ,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:13:19.571 UTC, ,714,3243426,3128,96584,400, ,9, , , , , , , , , , , ,9,9, , , ,1, ,15, , , , , , , , , , , , , , , , ,17182942621,4,3060904,17182938746, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,16577760,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:14:20.060 UTC, ,7074,3291018,3048,137736,480, ,10, ,26489, , , , , , , , , ,10,10, , , ,1, ,16, ,13321,7, , , , , , , , , , , , , ,34362837158,6,20003807,34362813897,2, ,20,40, , , , , , , ,4,5517,14254,5, ,40, ,40,16,51,79, , , , ,63,14105, , , , , , , , , , ,1492139418943, , , , ,3145728, , , ,7,42,13159,2665,13159,15,13159, , ,3,13166, , , ,7,2,677941,83,695362,125, , ,49370752,5451,48663702,13039, , , , , , ,97,117,48926368,3, , , , , , ,26637, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, ,12,13144,12,13144, , , , , , 
2017-04-14 03:15:20.069 UTC, ,714,3285930,3360,139008,480, ,10, ,18, , , , , , , , , ,10,10, , , ,1, ,16, ,14, , , , , , , , , , , , , , ,38657163408,7,9378349,38657159542,1, ,4,8, ,1,1, , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , , ,1, ,1, ,1, , ,3,1, , , , ,1, , , , , , , , ,3923,1, , , , , , , , ,50244560,2, , , , , , ,27, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:16:20.179 UTC, ,714,3285930,3360,139008,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,16, , , , , , , , , , , , , , , , ,38657163408,7,9378349,38657159542, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,51534888,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:17:20.190 UTC, ,714,3285930,3360,139008,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,16, , , , , , , , , , , , , , , , ,38657163408,7,9378349,38657159542, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,52824616,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:18:20.206 UTC, ,714,3285930,3360,139008,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,16, , , , , , , , , , , , , , , , ,38657163408,7,9378349,38657159542, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,54053792,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2017-04-14 03:19:20.216 UTC, ,714,3285930,3360,139008,480, ,10, , , , , , , , , , , ,10,10, , , ,1, ,16, , , , , , , , , , , , , , , , ,38657163408,7,9378349,38657159542, , , , , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1492139418943, , , , ,3145728, , , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,55344816,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
